Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,1500,538,118,15366,883.45,0.000%,74.61573,14.43,11.59,198.0
user_info_2,1500,485,119,7531,788.89,0.000%,74.77940,35.42,18.69,485.0
user_info_3,1500,492,118,7543,782.28,0.000%,74.77567,28.70,18.69,393.0
object_info_1,1500,494,118,15386,838.87,0.000%,74.79432,18.84,12.71,258.0
object_info_2,1500,474,119,15394,821.23,0.000%,74.94379,35.50,12.73,485.0
object_info_3,1500,523,118,15392,953.05,0.000%,75.20305,39.95,12.78,544.0
object_info_4,1500,518,118,15386,965.30,0.000%,75.54772,19.40,12.84,263.0
TOTAL,10500,503,118,15394,864.88,0.000%,503.93550,184.62,96.10,375.1
