Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,150,534,125,4371,578.15,0.000%,11.35246,2.00,1.77,180.0
user_info_2,150,481,128,3366,470.36,0.000%,11.33873,5.26,2.85,475.0
user_info_3,150,488,156,3444,467.17,0.000%,11.30881,4.21,2.84,381.0
object_info_1,150,524,136,4414,561.44,0.000%,11.32845,2.68,1.91,242.0
object_info_2,150,560,122,3423,538.87,0.000%,11.36278,5.27,1.94,475.0
object_info_3,150,509,123,3424,473.03,0.000%,11.44427,5.99,1.96,536.0
object_info_4,150,510,120,3401,454.81,0.000%,11.59734,2.82,1.98,249.0
TOTAL,1050,515,120,4414,509.11,0.000%,74.61626,26.42,14.28,362.6
