Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,750,513,120,8231,565.57,0.000%,39.81737,7.00,6.22,180.0
user_info_2,750,503,120,3449,479.79,0.000%,39.92972,18.52,10.02,475.0
user_info_3,750,536,121,7556,683.81,0.000%,39.93610,14.86,10.02,381.0
object_info_1,750,529,120,7578,555.44,0.000%,40.01921,9.46,6.76,242.0
object_info_2,750,523,120,8254,567.09,0.000%,40.10266,18.60,6.85,475.0
object_info_3,750,596,121,15595,935.09,0.000%,40.32041,21.11,6.89,536.0
object_info_4,750,504,120,7391,528.60,0.000%,40.69673,9.90,6.96,249.0
TOTAL,5250,529,120,15595,633.33,0.000%,268.25405,94.98,51.35,362.6
